Rank,Ensemble ID,Name,Position (hg19),MinEnergy,Binding site(query),Binding site(target),location,SumEnergy,lncRNA,Name_lncRNA
176,ENST00000378561,FAM214B,chr9: 35104121-35111571,-37.4,275-325,381-431,UTR5,-568.9,ENST00000535720.1,AC069234.2
177,ENST00000569685,CTA-331P3.1,chr6: 110799111-110800639,-37.4,242-297,834-889,ncRNA,-227.1,ENST00000535720.1,AC069234.2
178,ENST00000341809,KRT77,chr12: 53083411-53097247,-37.4,242-297,274-329,CDS,-298.1,ENST00000535720.1,AC069234.2
179,ENST00000259746,TMEM63B,chr6: 44094652-44123256,-37.3,240-297,3130-3187,UTR3,-347.4,ENST00000535720.1,AC069234.2
180,ENST00000243349,ACVR1C,chr2: 158383280-158485517,-37.3,240-291,959-1010,CDS,-1047.8,ENST00000535720.1,AC069234.2
181,ENST00000395290,CELF1,chr11: 47487497-47510576,-37.3,250-308,6457-6515,UTR3,-771.4,ENST00000535720.1,AC069234.2
182,ENST00000290583,CELF3,chr1: 151674882-151689290,-37.2,219-273,3014-3068,UTR3,-340.3,ENST00000535720.1,AC069234.2
183,ENST00000359546,CPLX2,chr5: 175223314-175311023,-37.2,243-293,2134-2184,UTR3,-483.2,ENST00000535720.1,AC069234.2
184,ENST00000413679,SEC14L1,chr17: 75137023-75213179,-37.2,218-272,3519-3573,UTR3,-400.4,ENST00000535720.1,AC069234.2
185,ENST00000263640,ACVR1,chr2: 158592959-158731623,-37.2,240-292,1066-1118,CDS,-427.3,ENST00000535720.1,AC069234.2
186,ENST00000269554,PIP4K2B,chr17: 36921943-36956158,-37.2,240-297,1364-1421,CDS,-624.2,ENST00000535720.1,AC069234.2
187,ENST00000504986,TMEM33,chr4: 41937138-41962589,-37.1,242-308,2120-2186,UTR3,-918.8,ENST00000535720.1,AC069234.2
188,ENST00000546821,RP11-70F11.8,chr12: 50305737-50320122,-37.1,226-277,388-439,ncRNA,-422.8,ENST00000535720.1,AC069234.2
189,ENST00000413150,MAP4K4,chr2: 102314489-102511149,-37.1,249-298,4112-4161,UTR3,-853.8,ENST00000535720.1,AC069234.2
190,ENST00000382114,LGI2,chr4: 25000470-25032501,-37.1,240-290,4155-4205,UTR3,-676.5,ENST00000535720.1,AC069234.2
191,ENST00000602967,NUTM2E,chr10: 81601115-81610632,-37.1,243-292,3490-3539,UTR3,-250.4,ENST00000535720.1,AC069234.2
192,ENST00000528514,FAM85A,chr8: 12051977-12053789,-37.0,216-274,363-421,ncRNA,-337.4,ENST00000535720.1,AC069234.2
193,ENST00000452801,AC104667.3,chr2: 238499813-238504624,-37.0,227-274,889-936,UTR3,-183.2,ENST00000535720.1,AC069234.2
194,ENST00000422931,RP11-173B14.4,chr13: 76205408-76206271,-37.0,243-290,263-310,ncRNA,-111.2,ENST00000535720.1,AC069234.2
